,stock,W,L,Data_Type,Month_type,Min_vol,Test_perc,Win_Rate,Symbol,Options Vol,Imp Vol,WR_rank,TR_rank,Vol_rank,Total_score,EV
196,VFC,50,10,pos_change,m1,2.351678536051028,100%,0.8333333333333334,VFC,3622.0,31.15%,0.3198051948051948,0.5746753246753247,0.7597402597402597,3.4431818181818183,11.758392680255144
197,K,51,9,pos_change,m1,1.669406108519528,100%,0.85,K,17379.0,20.82%,0.42694805194805197,0.06818181818181818,0.8993506493506493,2.38474025974026,9.459967948277322
198,CSX,53,7,pos_change,m1,2.708945028615487,100%,0.8833333333333333,0,0.0,0,0.6883116883116883,0.7857142857142857,0.3409090909090909,4.762987012987013,20.51058378808868
199,PNR,50,8,pos_change,m1,2.2362695996620188,100%,0.8620689655172413,0,0.0,0,0.48863636363636365,0.487012987012987,0.3409090909090909,3.267857142857143,13.976684997887611
200,AON,57,3,pos_change,m1,2.2165830626863046,100%,0.95,0,0.0,0,0.9626623376623377,0.4675324675324675,0.3409090909090909,4.6314935064935066,42.11507819103975
201,TROW,52,7,pos_change,m1,2.41031055687549,100%,0.8813559322033898,0,0.0,0,0.6525974025974026,0.6071428571428571,0.3409090909090909,4.12012987012987,17.905164136789352
202,EQR,51,6,pos_change,m1,1.9461168492138952,100%,0.8947368421052632,0,0.0,0,0.7288961038961039,0.2305194805194805,0.3409090909090909,3.219155844155844,16.54199321831811
203,CHD,52,8,pos_change,m1,2.0002405936633627,100%,0.8666666666666667,0,0.0,0,0.573051948051948,0.2792207792207792,0.3409090909090909,2.8977272727272725,13.001563858811862
204,LOW,50,10,pos_change,m1,2.4167632790952145,100%,0.8333333333333334,LOW,10571.0,29.62%,0.3198051948051948,0.6136363636363636,0.8701298701298701,3.670454545454545,12.083816395476076
205,PBCT,54,6,pos_change,m1,1.9454705552398306,100%,0.9,0,0.0,0,0.7938311688311688,0.22402597402597402,0.3409090909090909,3.3944805194805197,17.50923499715848
206,OKE,55,5,pos_change,m1,2.213619910492038,100%,0.9166666666666666,0,0.0,0,0.8701298701298701,0.4642857142857143,0.3409090909090909,4.344155844155844,24.349819015412407
207,^IXIC,54,6,pos_change,m1,1.6689919675901947,100%,0.9,0,0.0,0,0.7938311688311688,0.06493506493506493,0.3409090909090909,2.917207792207792,15.020927708311756
